Majors,Technical Skills,Soft Skills,Soft Skills Rating,Career Interest
B.Sc Data Science,"Cybersecurity, Java","Leadership, Time Management, Problem-Solving",1,Data Scientist
M.Tech AI,"Blockchain, Python, SQL","Adaptability, Teamwork, Leadership",4,Cybersecurity Expert
B.Tech IT,"Blockchain, Machine Learning, Python","Teamwork, Adaptability, Problem-Solving",3,Cybersecurity Expert
B.Tech IT,"Cybersecurity, Blockchain, Java ","Time Management, Communication, Leadership",4,Cloud Architect
B.Tech IT,"Cloud Computing, SQL","Teamwork, Problem-Solving",5,Software Developer
B.Tech CSE,"Machine Learning, Cybersecurity, Java, Data Analysis","Leadership, Adaptability",4,Software Developer
M.Tech AI,"Cybersecurity, SQL","Communication, Time Management",4,Data Scientist
B.Tech IT,"SQL, Cloud Computing","Time Management, Teamwork",5,Data Scientist
M.Tech AI,"Java, SQL, Cloud Computing","Problem-Solving, Adaptability, Time Management",2,Cloud Architect
M.Tech AI,"SQL, Cloud Computing","Problem-Solving, Leadership, Communication",5,Cloud Architect
M.Tech AI,"Python, Machine Learning","Problem-Solving, Time Management, Teamwork",1,Cybersecurity Expert
B.Sc Data Science,"Data Analysis, Cybersecurity","Leadership, Teamwork",2,Software Developer
B.Tech CSE,"Cloud Computing, Cybersecurity","Communication, Adaptability, Teamwork",2,Cloud Architect
B.Sc Data Science,"Machine Learning, Cybersecurity, Python, Data Analysis","Leadership, Teamwork",4,Business Analyst
B.Tech CSE,"Cybersecurity, Data Analysis","Problem-Solving, Leadership",5,Cloud Architect
M.Tech AI,"Java, Data Analysis, Python","Teamwork, Problem-Solving, Time Management",3,AI Engineer
B.Tech CSE,"Java, Blockchain, Machine Learning, Cybersecurity","Leadership, Adaptability, Communication",5,Software Developer
B.Tech IT,"Blockchain, Java, SQL, Python","Communication, Time Management",1,Cloud Architect
B.Tech CSE,"Data Analysis, Java, Cybersecurity","Adaptability, Leadership, Problem-Solving",5,Data Scientist
B.Sc Data Science,"Java, Cybersecurity, Blockchain","Problem-Solving, Leadership",4,Cloud Architect
B.Sc Data Science,"Python, Cloud Computing","Adaptability, Leadership",5,Data Scientist
B.Tech CSE,"Data Analysis, Python, Java, Cybersecurity","Teamwork, Adaptability, Time Management",2,Data Scientist
B.Tech IT,"Machine Learning, Blockchain","Communication, Time Management, Problem-Solving",3,Software Developer
